venue_id,venue_name,year,num_papers,avg_citations
1,international conference on human-computer interaction,2013,438,15.253424657534246
2,visual analytics science and technology,2011,28,33.857142857142854
3,pattern recognition and machine intelligence,2009,85,19.04705882352941
4,international conference on computer graphics theory and applications,2009,44,7.068181818181818
5,international symposium on computer and information sciences,2011,98,17.336734693877553
6,parallel and distributed processing techniques and applications,2003,222,6.891891891891892
7,international conference on computer vision and graphics,2014,50,13.66
8,international conference on conceptual structures,2002,311,25.726688102893892
9,international joint conference on artificial intelligence,1979,121,38.33884297520661
10,Electronic Notes in Theoretical Computer Science,2003,102,30.333333333333332
11,joint conference on knowledge-based software engineering,2008,56,8.482142857142858
12,conference of the international speech communication association,2002,539,29.7847866419295
13,international conference on bio-inspired systems and signal processing,2009,57,9.807017543859649
14,european symposium on algorithms,2004,111,18.324324324324323
15,language resources and evaluation,2008,559,25.162790697674417
16,operating systems design and implementation,2008,42,187.35714285714286
17,international conference on human computer interaction,2013,229,18.851528384279476
18,international symposium on algorithms and computation,2012,58,17.29310344827586
19,soft computing,2010,198,31.71212121212121
20,The Journal of Logic and Algebraic Programming,2011,11,17.272727272727273
21,research challenges in information science,2007,44,15.363636363636363
22,Journal of Advanced Computational Intelligence and Intelligent Informatics,2007,135,5.666666666666667
23,usenix large installation systems administration conference,2000,24,31.75
24,international conference on software engineering,2006,39,47.743589743589745
25,intelligent information systems,2013,27,18.85185185185185
26,Zeitschrift Für Interaktive Und Kooperative Medien,2004,3,0.0
27,international conference on parallel processing,1986,158,23.753164556962027
28,international conference on computer vision,2008,52,15.51923076923077
29,international syposium on methodologies for intelligent systems,1988,33,8.272727272727273
30,conference on multimedia modeling,2013,80,13.5125
31,IEEE Data(base) Engineering Bulletin,2002,26,37.96153846153846
32,artificial intelligence in medicine in europe,1989,25,44.88
33,conference of the international speech communication association,2008,657,17.48097412480974
34,hawaii international conference on system sciences,2004,80,4.95
35,Ars Combinatoria,2006,63,11.841269841269842
36,Applied Mathematics Letters,2012,78,13.73076923076923
37,conference on management of data,1994,14,8.857142857142858
38,open source systems,2012,34,13.764705882352942
39,intelligent data engineering and automated learning,2011,47,21.680851063829788
40,Communications of The Ais,2009,55,16.236363636363638
41,international joint conference on artificial intelligence,1981,179,58.21787709497207
42,formal modeling and analysis of timed systems,2014,15,24.0
43,the european symposium on artificial neural networks,2003,65,18.384615384615383
44,Revista Iberoamericana De Tecnologías Del Aprendizaje,2009,19,2.6842105263157894
45,international conference on intelligent computing,2013,131,14.954198473282442
46,recent advances in natural language processing,2003,22,28.863636363636363
47,arXiv: Computers and Society,2015,69,7.173913043478261
48,pacific asia conference on information systems,2014,236,3.1228813559322033
49,electronic government,2014,43,25.674418604651162
50,symposium on experimental and efficient algorithms,2013,27,37.629629629629626
51,conference of the international speech communication association,2003,628,22.052547770700638
52,european conference on computer supported cooperative work,1991,16,96.125
53,security and privacy in mobile information and communication systems,2012,10,18.2
54,international conference on software and data technologies,2008,122,6.39344262295082
55,non-monotonic reasoning,2004,36,26.555555555555557
56,doctoral conference on computing electrical and industrial systems,2013,49,18.877551020408163
57,Wirtschaftsinformatik \/ Angewandte Informatik,2011,109,9.256880733944953
58,doctoral conference on computing electrical and industrial systems,2012,35,16.885714285714286
59,international conference on enterprise information systems,2003,263,10.269961977186313
60,conference on advanced information systems engineering,2014,65,22.692307692307693
61,international symposium on bioinformatics research and applications,2012,21,16.428571428571427
62,color imaging conference,1997,11,62.45454545454545
63,british national conference on databases,2003,30,16.7
64,working conference on virtual enterprises,2013,55,24.29090909090909
65,international conference on artificial intelligence and soft computing,2012,136,18.21323529411765
66,Robot,2014,79,27.848101265822784
67,pacific rim international conference on artificial intelligence,2014,57,9.508771929824562
68,Journal of Machine Vision and Applications,2005,89,9.820224719101123
69,simulation modeling and programming for autonomous robots,2012,34,31.11764705882353
70,international conference on computational linguistics,2014,81,20.493827160493826
71,international world wide web conferences,2001,98,36.93877551020408
72,computers and their applications,1998,62,3.435483870967742
73,string processing and information retrieval,2011,29,27.275862068965516
74,Applied Artificial Intelligence,1989,7,44.857142857142854
75,software engineering and data engineering,2007,34,6.029411764705882
76,the florida ai research society,2006,135,22.474074074074075
77,international conference on enterprise information systems,2007,296,9.658783783783784
78,international conference on wireless information networks and systems,2009,18,6.222222222222222
79,The International Journal of Computers Systems and Signal,2003,3,17.0
80,north american chapter of the association for computational linguistics,2012,185,33.04864864864865
81,IEEE Data(base) Engineering Bulletin,2001,23,79.21739130434783
82,text retrieval conference,2001,52,50.38461538461539
83,conference of the international speech communication association,1994,218,4.81651376146789
84,intelligent data analysis,2012,75,19.946666666666665
85,conference of the international speech communication association,1990,143,6.216783216783217
86,international conference on computer vision,2011,114,58.921052631578945
87,international joint conference on artificial intelligence,1991,172,78.15697674418605
88,international conference on hybrid learning and education,2013,21,5.428571428571429
89,international semantic web conference,2001,30,107.1
90,international conference on machine learning,2014,119,48.2436974789916
91,conference of the international speech communication association,1998,228,4.662280701754386
